timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1553625240476,1933,HTTP Request Scenario 2,200,OK,Thread Group 1-4,text,true,,313,3658506,7,7,http://localhost:8081/algorithm/NaiveBayes,1933,0,4
1553625240446,2099,HTTP Request Scenario 2,200,OK,Thread Group 1-5,text,true,,313,3658530,7,7,http://localhost:8081/algorithm/NaiveBayes,2099,0,3
1553625240478,2264,HTTP Request Scenario 2,200,OK,Thread Group 1-6,text,true,,313,3658530,7,7,http://localhost:8081/algorithm/NaiveBayes,2264,0,1
1553625240901,2054,HTTP Request Scenario 2,200,OK,Thread Group 1-8,text,true,,313,3658490,7,7,http://localhost:8081/algorithm/NaiveBayes,2054,0,1
1553625240704,2329,HTTP Request Scenario 2,200,OK,Thread Group 1-10,text,true,,313,3658458,7,7,http://localhost:8081/algorithm/NaiveBayes,2329,0,1
1553625241789,1723,HTTP Request Scenario 2,200,OK,Thread Group 1-9,text,true,,313,3658490,7,7,http://localhost:8081/algorithm/NaiveBayes,1723,0,2
1553625242410,1387,HTTP Request Scenario 2,200,OK,Thread Group 1-4,text,true,,313,3658490,7,7,http://localhost:8081/algorithm/NaiveBayes,1386,0,1
1553625242957,1903,HTTP Request Scenario 2,200,OK,Thread Group 1-8,text,true,,313,3658514,6,6,http://localhost:8081/algorithm/NaiveBayes,1903,0,2
1553625242546,2369,HTTP Request Scenario 2,200,OK,Thread Group 1-5,text,true,,313,3658530,6,6,http://localhost:8081/algorithm/NaiveBayes,2369,0,1
1553625243034,2537,HTTP Request Scenario 2,200,OK,Thread Group 1-10,text,true,,313,3658538,6,6,http://localhost:8081/algorithm/NaiveBayes,2537,0,1
1553625242202,3639,HTTP Request Scenario 2,200,OK,Thread Group 1-7,text,true,,313,3658498,6,6,http://localhost:8081/algorithm/NaiveBayes,3639,0,1
1553625242744,3213,HTTP Request Scenario 2,200,OK,Thread Group 1-6,text,true,,313,3658466,6,6,http://localhost:8081/algorithm/NaiveBayes,3213,0,2
1553625243513,2694,HTTP Request Scenario 2,200,OK,Thread Group 1-9,text,true,,313,3658482,6,6,http://localhost:8081/algorithm/NaiveBayes,2694,0,3
1553625245958,1390,HTTP Request Scenario 2,200,OK,Thread Group 1-6,text,true,,313,3658530,6,6,http://localhost:8081/algorithm/NaiveBayes,1390,0,1
1553625245572,2049,HTTP Request Scenario 2,200,OK,Thread Group 1-10,text,true,,313,3658474,5,5,http://localhost:8081/algorithm/NaiveBayes,2048,0,1
1553625244916,2717,HTTP Request Scenario 2,200,OK,Thread Group 1-5,text,true,,313,3658482,5,5,http://localhost:8081/algorithm/NaiveBayes,2717,0,1
1553625246207,1688,HTTP Request Scenario 2,200,OK,Thread Group 1-9,text,true,,313,3658514,4,4,http://localhost:8081/algorithm/NaiveBayes,1688,0,2
1553625244860,3682,HTTP Request Scenario 2,200,OK,Thread Group 1-8,text,true,,313,3658466,4,4,http://localhost:8081/algorithm/NaiveBayes,3682,0,1
1553625245842,4102,HTTP Request Scenario 2,200,OK,Thread Group 1-7,text,true,,313,3658482,4,4,http://localhost:8081/algorithm/NaiveBayes,4102,0,0
1553625247622,2326,HTTP Request Scenario 2,200,OK,Thread Group 1-10,text,true,,313,3658514,4,4,http://localhost:8081/algorithm/NaiveBayes,2326,0,3
1553625247896,2486,HTTP Request Scenario 2,200,OK,Thread Group 1-9,text,true,,313,3658538,4,4,http://localhost:8081/algorithm/NaiveBayes,2486,0,0
1553625248544,1861,HTTP Request Scenario 2,200,OK,Thread Group 1-8,text,true,,313,3658538,3,3,http://localhost:8081/algorithm/NaiveBayes,1861,0,7
1553625249945,1921,HTTP Request Scenario 2,200,OK,Thread Group 1-7,text,true,,313,3658466,2,2,http://localhost:8081/algorithm/NaiveBayes,1921,0,0
1553625249949,1999,HTTP Request Scenario 2,200,OK,Thread Group 1-10,text,true,,313,3658498,1,1,http://localhost:8081/algorithm/NaiveBayes,1999,0,0
